Measurements,Maths,Mechanics,POM,Electricity,Thermodynamics,Computer,Maths2,Programming,Fluid,Electronics,Manufacturing,Drawing,Department
A+,A,A,A+,A+,A+,A+,A+,A+,A-,A+,A,B+,CO
A,A,A,A,A,A,A,A,A+,A,A,A,B,CO
A,A,A,A,A+,A,A+,A,A,A-,A,A-,B+,EE
A+,A,A,A,A,A+,A+,A,A+,A,A+,A-,B-,EE
A,A,A,A,A-,A+,A+,A,A,A,A,B+,B,CO
A,A,A,A,A,A,A+,B,A,B+,A,A,B,EE
B+,A+,A-,A,A,A,A+,B+,A+,A,A,B+,A-,EE
A-,A,A,A,A,A-,A,B+,A+,A-,A-,B+,A-,EE
A,A,A-,B+,A-,A,A,B+,B+,A+,A,B+,A,EE
A,A,A-,A,A-,B+,A,A-,A,A+,A+,B,B,EE
A,A+,B+,A+,A+,A,A,A-,A,A,A-,B+,B-,ME
A,A-,B,A-,A+,A-,A,B,A+,A,A-,A-,A,CO
A,A,A-,A,A,A,A,A+,A,A-,B+,B,C+,EE
A,A,B,A,A-,A-,A+,B,A,A,A,A-,B-,EE
A,A-,B,A,B+,A-,A,A-,A,A+,A,B+,B-,EE
A-,A-,A,A,A,A,B+,B+,B+,A,A,B+,B-,ME
A,A-,B+,A+,A-,A,A+,B+,B+,A,A-,B+,B,CO
B+,B+,B+,A,A,A,B+,A-,A-,A,A,B+,B,EE
A-,A+,A-,A,A,A,A,A-,B+,B,A-,B,B-,CO
A,B,B+,B+,A-,A,A-,A,B+,A-,A-,A-,B+,EE
A,A,A-,A,A-,A-,A,B+,A,A,B,B+,C+,ME
A,B+,B,A,A-,A,A,A-,A-,A,B+,B-,A-,CE
A+,B+,B+,A+,B+,B+,A,B,A+,A-,A+,A,B-,EE
A,A-,A,A,A,B+,A,A-,A-,B+,B+,B,B-,EE
A-,A,B+,A,B,A,A-,B+,A,B+,A-,A-,B-,EE
A+,A-,B,A,A,A-,A-,B+,B+,A-,A-,A-,B,EE
A,A-,B,A,A,A-,A+,B+,A,A-,A-,B,B-,CO
A,B+,A-,B+,A,A,A,B,A-,A,A-,B,B,CO
A-,B+,A,A,A,B+,A-,B+,A-,A-,B+,A-,B-,EE
A,A-,B,A+,A-,B,A+,B-,A,B+,A,A-,B,CO
